iteration,x,y,value,error,value_error,diversity
1,0.9822992928542842,-0.12896774008829226,-1.6782722197605155,inf,0.024227780239484353,1.5265154562213927
2,0.9300475516838276,0.5585205514049871,-1.7023924599334455,inf,0.0001075400665544457,1.4226011557570755
3,0.9300475516838276,0.5585205514049871,-1.7023924599334455,inf,0.0001075400665544457,1.1848517527343896
4,1.0727067558590733,-0.45697755706367804,-1.6771453873226363,inf,0.025354612677363608,0.9556423757073588
5,0.8665062935510779,0.6291442330469756,-1.7022331342119486,inf,0.0002668657880513514,0.9165823004616929
6,0.8665062935510779,0.6291442330469756,-1.7022331342119486,inf,0.0002668657880513514,0.6660363402564577
7,-1.076127027595299,-0.09664942060121007,-1.702479809873444,inf,2.0190126555963417e-05,0.42124502501096595
8,-1.076127027595299,-0.09664942060121007,-1.702479809873444,inf,2.0190126555963417e-05,0.516378216950577
9,-1.076127027595299,-0.09664942060121007,-1.702479809873444,inf,2.0190126555963417e-05,0.5229913770561809
10,1.0683080095498365,-0.15078846616041108,-1.7024804815405925,inf,1.951845940739716e-05,0.46005055425059355
11,1.0611843356095658,0.19579682510431873,-1.702481273600112,inf,1.8726399887869505e-05,0.4465701830644049
12,1.0611843356095658,0.19579682510431873,-1.702481273600112,inf,1.8726399887869505e-05,0.6441794289423627
13,1.0611843356095658,0.19579682510431873,-1.702481273600112,inf,1.8726399887869505e-05,0.5367014030358405
14,1.0611843356095658,0.19579682510431873,-1.702481273600112,inf,1.8726399887869505e-05,0.5913660350309466
15,1.0611843356095658,0.19579682510431873,-1.702481273600112,inf,1.8726399887869505e-05,0.8686237577868072
16,1.0611843356095658,0.19579682510431873,-1.702481273600112,inf,1.8726399887869505e-05,0.6706144201507441
17,1.0607064616908186,0.20260821071801338,-1.702481894169853,inf,1.810583014694167e-05,0.8513611144084703
18,1.0607064616908186,0.20260821071801338,-1.702481894169853,inf,1.810583014694167e-05,0.8846696597417099
19,1.0607064616908186,0.20260821071801338,-1.7024821327643065,inf,1.7867235693413974e-05,0.7188653976802264
20,1.0607064616908186,0.20260821071801338,-1.7024821327643065,inf,1.7867235693413974e-05,0.9542401534271219
