iteration,x,y,value,error,value_error,diversity
1,0.9131545567425778,0.3781825621803314,-1.6770086116526979,inf,0.025491388347302024,1.2019372245875481
2,0.9131545567425778,0.3781825621803314,-1.6770086116526979,inf,0.025491388347302024,1.0298744340071613
3,0.9131545567425778,0.3781825621803314,-1.6770086116526979,inf,0.025491388347302024,0.7298508464720526
4,0.9965004243693141,0.3781825621803314,-1.7018737853471462,inf,0.0006262146528537293,0.5958890081808255
5,0.9965004243693141,0.3781825621803314,-1.7018737853471462,inf,0.0006262146528537293,0.5061985000175564
6,1.0637490686725535,-0.1465397578131098,-1.702372950794635,inf,0.00012704920536488196,0.22861606031361748
7,1.0637490686725535,-0.1465397578131098,-1.702372950794635,inf,0.00012704920536488196,0.1876972245260109
8,0.9959379096121364,0.4282741369399794,-1.7024162065103947,inf,8.37934896051884e-05,0.08727858732800266
9,0.992930207492364,0.4134542165175219,-1.7024294103931996,inf,7.058960680028648e-05,0.07884223741389024
10,0.9986147761694859,0.4134542165175219,-1.7024773869041165,inf,2.2613095883361467e-05,0.07594095892798378
11,0.996796827724614,0.41451415959752147,-1.7024821208526606,inf,1.7879147339305845e-05,0.08131606334922026
12,0.996796827724614,0.41451415959752147,-1.7024821208526606,inf,1.7879147339305845e-05,0.04820770293528623
13,0.9967968665918772,0.4145141723936874,-1.7024821208692111,inf,1.7879130788767128e-05,0.0013895066933553722
14,0.9967968665918772,0.4145141723936874,-1.7024821208692111,inf,1.7879130788767128e-05,0.0004154732285920318
15,0.9967969643225114,0.4145141770781251,-1.7024821209065062,inf,1.7879093493711196e-05,0.00047770834391266243
16,0.9967969643225114,0.4145141770781251,-1.7024821209065062,inf,1.7879093493711196e-05,0.0005225951785230777
17,0.9967969655753421,0.41451417706875127,-1.702482120906973,inf,1.7879093026973436e-05,0.00048643644246873784
18,0.9967971392040784,0.41451461024882086,-1.7024821210388892,inf,1.787896111071774e-05,0.0003831426478122043
19,0.9967971392040784,0.41451461024882086,-1.7024821210388892,inf,1.787896111071774e-05,0.00036165969318939387
20,0.9967971391707859,0.4145146103305706,-1.7024821210388894,inf,1.7878961110495695e-05,0.00019840799874886784
