iteration,x,value,error,value_error,diversity
1,-1.0278819124290735,-0.9968030897738551,0.027881912429073452,0.003196910226144878,0.9842033198310317
2,-1.0177562259461936,-0.9987163733723645,0.017756225946193638,0.0012836266276354813,1.0379222451410588
3,-0.9837558606044459,-0.9989615876111313,0.016244139395554136,0.0010384123888687036,0.9782464247065595
4,1.0043848724807627,-0.9999227539699844,0.0043848724807626915,7.72460300155764e-05,0.8341096482741672
5,1.0043848724807627,-0.9999227539699844,0.0043848724807626915,7.72460300155764e-05,0.9766999661297913
6,-0.9965594016027257,-0.9999528119058684,0.003440598397274286,4.7188094131622726e-05,1.0012772899193991
7,-0.9965594016027257,-0.9999528119058684,0.003440598397274286,4.7188094131622726e-05,1.0827667734989916
8,-1.002272522533611,-0.9999792955941806,0.002272522533611099,2.0704405819360616e-05,1.033241949501905
9,0.9983244295784126,-0.9999887886640657,0.0016755704215873912,1.1211335934291355e-05,0.8983426566878245
10,1.00121175485067,-0.9999941194814514,0.0012117548506700437,5.880518548551095e-06,0.9732025866042371
11,1.00121175485067,-0.9999941194814514,0.0012117548506700437,5.880518548551095e-06,0.7996590953562992
12,-0.9999629046425984,-0.9999999944959421,3.709535740159531e-05,5.504057876137836e-09,0.8008577538307834
13,-0.9999629046425984,-0.9999999944959421,3.709535740159531e-05,5.504057876137836e-09,0.673168756608514
14,-0.9999629046425984,-0.9999999944959421,3.709535740159531e-05,5.504057876137836e-09,0.801929918343001
15,-0.9999629046425984,-0.9999999944959421,3.709535740159531e-05,5.504057876137836e-09,0.6712342007428658
16,-0.9999629046425984,-0.9999999944959421,3.709535740159531e-05,5.504057876137836e-09,0.6711173158486838
17,-0.9999629046425984,-0.9999999944959421,3.709535740159531e-05,5.504057876137836e-09,0.48698112505980373
18,-0.9999629046425984,-0.9999999944959421,3.709535740159531e-05,5.504057876137836e-09,0.4867940734480173
19,-0.9999629046425984,-0.9999999944959421,3.709535740159531e-05,5.504057876137836e-09,0.6699702592030771
20,-0.9999629046425984,-0.9999999944959421,3.709535740159531e-05,5.504057876137836e-09,0.7979536083203445
21,-0.9999629046425984,-0.9999999944959421,3.709535740159531e-05,5.504057876137836e-09,0.8941202053226385
22,-0.9999629046425984,-0.9999999944959421,3.709535740159531e-05,5.504057876137836e-09,0.8941065246395762
23,-1.0000092678728947,-0.999999999656423,9.267872894680451e-06,3.4357694467246347e-10,0.7983146443962499
24,-1.0000092678728947,-0.999999999656423,9.267872894680451e-06,3.4357694467246347e-10,0.894336959279191
25,-1.0000092678728947,-0.999999999656423,9.267872894680451e-06,3.4357694467246347e-10,0.8943867614217557
26,-1.0000092678728947,-0.9999999997424017,9.267872894680451e-06,2.5759827604332486e-10,0.8943773865605791
27,-1.0000031403597478,-0.9999999999605524,3.1403597477996925e-06,3.944755633256136e-11,0.6708023531026341
28,-1.0000031403597478,-0.9999999999605524,3.1403597477996925e-06,3.944755633256136e-11,0.798493038206852
29,-1.0000031403597478,-0.9999999999605524,3.1403597477996925e-06,3.944755633256136e-11,0.670840695100711
30,-1.0000031403597478,-0.9999999999605524,3.1403597477996925e-06,3.944755633256136e-11,0.894422884322911
31,-1.0000031403597478,-0.9999999999605524,3.1403597477996925e-06,3.944755633256136e-11,0.4873345029188717
32,-1.0000031403597478,-0.9999999999605524,3.1403597477996925e-06,3.944755633256136e-11,0.48734004832233274
33,-0.9999996749593432,-0.9999999999995774,3.2504065683447436e-07,4.225508831723346e-13,0.48733740332383696
34,-0.9999996749593432,-0.9999999999995774,3.2504065683447436e-07,4.225508831723346e-13,0.4873411419452239
35,-0.9999996749593432,-0.9999999999995774,3.2504065683447436e-07,4.225508831723346e-13,0.48734084982202264
36,-0.9999996749593432,-0.9999999999995774,3.2504065683447436e-07,4.225508831723346e-13,7.984544342760786e-06
37,-0.9999998424955283,-0.9999999999999006,1.5750447168727533e-07,9.936496070395151e-14,6.137595643558005e-06
38,-0.9999998424955283,-0.9999999999999006,1.5750447168727533e-07,9.936496070395151e-14,4.216326281783815e-06
39,-0.9999998424955283,-0.9999999999999006,1.5750447168727533e-07,9.936496070395151e-14,3.2987554982545175e-06
40,-1.0000000548397665,-0.9999999999999882,5.4839766505665466e-08,1.176836406102666e-14,2.005977043893096e-06
41,-1.0000000548397665,-0.9999999999999882,5.4839766505665466e-08,1.176836406102666e-14,1.3962825240497748e-06
42,-0.999999967540812,-0.9999999999999957,3.245918800409697e-08,4.3298697960381105e-15,1.0152786631814072e-06
43,-0.999999967540812,-0.9999999999999957,3.245918800409697e-08,4.3298697960381105e-15,5.753931994185287e-07
44,-0.999999967540812,-0.9999999999999957,3.245918800409697e-08,4.3298697960381105e-15,3.355655150042986e-07
45,-0.999999967540812,-0.9999999999999957,3.245918800409697e-08,4.3298697960381105e-15,2.7076318765602203e-07
46,-0.9999999989272135,-1.0,1.0727865262794012e-09,0.0,1.9499542255366902e-07
47,-0.9999999989272135,-1.0,1.0727865262794012e-09,0.0,1.429075080339451e-07
48,-0.9999999989272135,-1.0,1.0727865262794012e-09,0.0,8.107175767232538e-08
49,-0.9999999989272135,-1.0,1.0727865262794012e-09,0.0,5.227015353827908e-08
50,-0.9999999989272135,-1.0,1.0727865262794012e-09,0.0,3.600462567330094e-08
