iteration,x,value,error,value_error,diversity
1,-0.8963045789990645,-0.9613334569734633,0.10369542100093554,0.038666543026536715,0.9600891869255476
2,-1.0554266057894466,-0.987021021415452,0.05542660578944658,0.012978978584547995,0.8650965782765698
3,-0.9891263446487599,-0.9995321831439827,0.010873655351240075,0.00046781685601726686,0.9070882500258934
4,-0.9891263446487599,-0.9995321831439827,0.010873655351240075,0.00046781685601726686,0.8574080330951611
5,-0.9891263446487599,-0.9995321831439827,0.010873655351240075,0.00046781685601726686,0.6334973682718248
6,-1.007331850907725,-0.9997833964343399,0.007331850907724924,0.00021660356566011174,0.676540438872708
7,-0.9936821882018294,-0.9998413481185554,0.006317811798170592,0.00015865188144459363,0.6516397097038751
8,-1.0012928933761374,-0.9999933050594134,0.0012928933761373607,6.694940586582376e-06,0.4731847066542273
9,-0.9993945455984974,-0.9999985345875143,0.0006054544015026142,1.4654124856905426e-06,0.03146798703697315
10,-0.9993945455984974,-0.9999985345875143,0.0006054544015026142,1.4654124856905426e-06,0.0168781598116208
11,-0.9993945455984974,-0.9999985345875143,0.0006054544015026142,1.4654124856905426e-06,0.014128913050149475
12,-0.9993945455984974,-0.9999985345875143,0.0006054544015026142,1.4654124856905426e-06,0.007821491954746813
13,-1.0003884108174517,-0.9999993963137372,0.0003884108174516676,6.03686262756753e-07,0.006210886343897258
14,-0.9998694773521681,-0.9999999318642477,0.0001305226478318655,6.813575226249924e-08,0.004231440860362815
15,-0.9998694773521681,-0.9999999318642477,0.0001305226478318655,6.813575226249924e-08,0.002373906046280234
16,-1.000079199159854,-0.9999999749079853,7.91991598541042e-05,2.509201468825495e-08,0.001691203157113576
17,-1.000079199159854,-0.9999999749079853,7.91991598541042e-05,2.509201468825495e-08,0.0013690479248422067
18,-0.999923099911483,-0.9999999763473245,7.69000885170179e-05,2.3652675484875374e-08,0.001236586654553589
19,-0.9999704448509905,-0.999999996506076,2.955514900948586e-05,3.493924038977525e-09,0.0009025873251911789
20,-0.9999704448509905,-0.999999996506076,2.955514900948586e-05,3.493924038977525e-09,0.0005209468741635811
21,-0.9999704448509905,-0.999999996506076,2.955514900948586e-05,3.493924038977525e-09,0.0003137681585690004
22,-1.0000034555340669,-0.9999999999522369,3.455534066887367e-06,4.7763126787003785e-11,0.0002475106106900007
23,-1.0000034555340669,-0.9999999999522369,3.455534066887367e-06,4.7763126787003785e-11,0.00016432706175090764
24,-1.0000031042728268,-0.999999999961454,3.104272826792709e-06,3.8546055236565735e-11,8.041007702066801e-05
25,-1.0000013597889568,-0.9999999999926037,1.3597889567673604e-06,7.396305790052793e-12,3.276759351130252e-05
26,-0.9999998678438515,-0.9999999999999301,1.3215614846906476e-07,6.994405055138486e-14,1.46371329502906e-05
27,-0.9999998678438515,-0.9999999999999301,1.3215614846906476e-07,6.994405055138486e-14,5.866620918840813e-06
28,-0.9999998678438515,-0.9999999999999301,1.3215614846906476e-07,6.994405055138486e-14,3.050723319968186e-06
29,-1.0000000139468317,-0.9999999999999993,1.3946831689537476e-08,6.661338147750939e-16,2.337754812366236e-06
30,-1.0000000139468317,-0.9999999999999993,1.3946831689537476e-08,6.661338147750939e-16,1.6964311832705304e-06
31,-1.0000000139468317,-0.9999999999999993,1.3946831689537476e-08,6.661338147750939e-16,5.625824395736408e-07
32,-1.0000000139468317,-0.9999999999999993,1.3946831689537476e-08,6.661338147750939e-16,3.1679506026407645e-07
33,-1.000000006951002,-0.9999999999999998,6.95100199621379e-09,2.220446049250313e-16,2.0752517182611942e-07
34,-1.000000006951002,-0.9999999999999998,6.95100199621379e-09,2.220446049250313e-16,1.1380086407491056e-07
35,-1.000000006951002,-0.9999999999999998,6.95100199621379e-09,2.220446049250313e-16,7.438189603306698e-08
36,-1.000000006951002,-0.9999999999999998,6.95100199621379e-09,2.220446049250313e-16,5.295688414707058e-08
37,-1.000000006951002,-0.9999999999999998,6.95100199621379e-09,2.220446049250313e-16,3.363639590923157e-08
38,-1.0000000002571356,-1.0,2.5713564610896356e-10,0.0,2.444305936791218e-08
39,-1.0000000002571356,-1.0,2.5713564610896356e-10,0.0,2.1545367226928703e-08
40,-1.0000000002571356,-1.0,2.5713564610896356e-10,0.0,1.5723825131491634e-08
41,-1.0000000002571356,-1.0,2.5713564610896356e-10,0.0,9.774082178466952e-09
42,-1.0000000002571356,-1.0,2.5713564610896356e-10,0.0,6.994512851167437e-09
43,-1.0000000002571356,-1.0,2.5713564610896356e-10,0.0,3.78332345222271e-09
44,-1.0000000002571356,-1.0,2.5713564610896356e-10,0.0,2.7460553083423225e-09
45,-1.0000000002571356,-1.0,2.5713564610896356e-10,0.0,2.7460553083423225e-09
46,-1.0000000002571356,-1.0,2.5713564610896356e-10,0.0,2.5172671447098494e-09
47,-1.0000000002571356,-1.0,2.5713564610896356e-10,0.0,2.2656200771843366e-09
48,-1.0000000002571356,-1.0,2.5713564610896356e-10,0.0,2.2656200771843366e-09
49,-1.0000000002571356,-1.0,2.5713564610896356e-10,0.0,2.2656200771843366e-09
50,-1.0000000002571356,-1.0,2.5713564610896356e-10,0.0,2.2656200771843366e-09
