iteration,x,value,error,value_error,diversity
1,0.947068928245347,-0.9893785446450284,0.05293107175465295,0.01062145535497161,1.000631210150699
2,0.9573774164804494,-0.9930396883222269,0.042622583519550616,0.006960311677773112,0.9469323752169045
3,0.9573774164804494,-0.9930396883222269,0.042622583519550616,0.006960311677773112,0.9852469981531972
4,0.9573774164804494,-0.9930396883222269,0.042622583519550616,0.006960311677773112,0.9470315075878977
5,-0.985974418609445,-0.9992241298465139,0.014025581390554986,0.0007758701534861245,1.0607038793376566
6,-0.985974418609445,-0.9992241298465139,0.014025581390554986,0.0007758701534861245,0.8539222636271906
7,0.9924132923153084,-0.9997715108600241,0.007586707684691607,0.00022848913997586262,0.7785488799179003
8,0.9924132923153084,-0.9997715108600241,0.007586707684691607,0.00022848913997586262,0.9338111384423194
9,-0.9970571408527464,-0.9999654601907393,0.0029428591472535626,3.4539809260714094e-05,0.7746615001010299
10,-0.9970922901155341,-0.9999662791575799,0.00290770988446587,3.37208424201485e-05,0.6632807261368452
11,-1.0003205573788403,-0.9999995888400988,0.00032055737884029156,4.111599012368572e-07,0.48673751059775056
12,-1.0001042856328235,-0.9999999564934903,0.00010428563282349756,4.350650972817505e-08,0.008955792253557183
13,-1.0001042856328235,-0.9999999564934903,0.00010428563282349756,4.350650972817505e-08,0.006890273155034053
14,-1.000089081527685,-0.9999999682550977,8.908152768505317e-05,3.174490226243165e-08,0.0034908446985114435
15,-1.000089081527685,-0.9999999682550977,8.908152768505317e-05,3.174490226243165e-08,0.0011281396779188185
16,-1.000089081527685,-0.9999999682550977,8.908152768505317e-05,3.174490226243165e-08,0.0007532268444189154
17,-0.9999865816882352,-0.9999999992798053,1.3418311764823443e-05,7.201946816692839e-10,0.0004846450691479936
18,-0.9999865816882352,-0.9999999992798053,1.3418311764823443e-05,7.201946816692839e-10,0.00026104419943467455
19,-0.9999865816882352,-0.9999999992798053,1.3418311764823443e-05,7.201946816692839e-10,0.00019180836089917515
20,-0.9999963420874636,-0.9999999999464788,3.657912536425556e-06,5.3521187481919696e-11,0.0001415971622130921
21,-1.0000014279085971,-0.9999999999918441,1.4279085971402594e-06,8.155920383501325e-12,6.63333935608747e-05
22,-1.0000014279085971,-0.9999999999918441,1.4279085971402594e-06,8.155920383501325e-12,4.470853916142221e-05
23,-1.0000014279085971,-0.9999999999918441,1.4279085971402594e-06,8.155920383501325e-12,1.9908806790776737e-05
24,-1.0000014279085971,-0.9999999999933056,1.4279085971402594e-06,6.694422793884769e-12,1.286809389608213e-05
25,-1.0000001316390388,-0.9999999999999307,1.3163903878066208e-07,6.927791673660977e-14,8.181537132095712e-06
26,-1.0000000852112705,-0.9999999999999711,8.521127048410904e-08,2.886579864025407e-14,5.898491027284906e-06
27,-1.0000000852112705,-0.9999999999999711,8.521127048410904e-08,2.886579864025407e-14,3.9744601921317825e-06
28,-1.0000000852112705,-0.9999999999999711,8.521127048410904e-08,2.886579864025407e-14,2.573292530050988e-06
29,-1.0000000226095578,-0.9999999999999978,2.2609557781549938e-08,2.220446049250313e-15,1.5107337122731835e-06
30,-1.0000000226095578,-0.9999999999999978,2.2609557781549938e-08,2.220446049250313e-15,7.759086155949757e-07
31,-1.0000000226095578,-0.9999999999999978,2.2609557781549938e-08,2.220446049250313e-15,5.657826261904253e-07
32,-1.0000000226095578,-0.9999999999999978,2.2609557781549938e-08,2.220446049250313e-15,3.788936202140147e-07
33,-1.000000005249901,-0.9999999999999998,5.249900958403941e-09,2.220446049250313e-16,2.3632346665453332e-07
34,-1.000000005249901,-0.9999999999999998,5.249900958403941e-09,2.220446049250313e-16,1.7240166045782421e-07
35,-1.000000005249901,-0.9999999999999998,5.249900958403941e-09,2.220446049250313e-16,1.4053236596207437e-07
36,-1.000000005249901,-0.9999999999999998,5.249900958403941e-09,2.220446049250313e-16,9.520745166384408e-08
37,-1.000000005249901,-0.9999999999999998,5.249900958403941e-09,2.220446049250313e-16,4.815932422306178e-08
38,-0.999999998760245,-1.0,1.2397549653542228e-09,0.0,3.4609430139318815e-08
39,-0.999999998760245,-1.0,1.2397549653542228e-09,0.0,1.8529699542357507e-08
40,-0.999999998760245,-1.0,1.2397549653542228e-09,0.0,7.90966753721055e-09
41,-0.999999998760245,-1.0,1.2397549653542228e-09,0.0,4.644473200141101e-09
42,-0.999999998760245,-1.0,1.2397549653542228e-09,0.0,3.418211762352242e-09
43,-0.999999998760245,-1.0,1.2397549653542228e-09,0.0,2.290258319379788e-09
44,-0.999999998760245,-1.0,1.2397549653542228e-09,0.0,2.290258319379788e-09
45,-0.999999998760245,-1.0,1.2397549653542228e-09,0.0,2.290258319379788e-09
46,-0.999999998760245,-1.0,1.2397549653542228e-09,0.0,2.290258319379788e-09
47,-0.999999998760245,-1.0,1.2397549653542228e-09,0.0,2.290258319379788e-09
48,-0.999999998760245,-1.0,1.2397549653542228e-09,0.0,2.290258319379788e-09
49,-0.999999998760245,-1.0,1.2397549653542228e-09,0.0,2.290258319379788e-09
50,-0.999999998760245,-1.0,1.2397549653542228e-09,0.0,2.290258319379788e-09
