iteration,x,value,error,value_error
1,1.024728693228735,-0.9974931057808898,0.024728693228734944,-0.0025068942191102117
2,1.024728693228735,-0.9974931057808898,0.024728693228734944,-0.0025068942191102117
3,1.024728693228735,-0.9974931057808898,0.024728693228734944,-0.0025068942191102117
4,-0.9800212976443496,-0.998435144369304,0.019978702355650357,-0.0015648556306959716
5,1.0066515389325286,-0.9998218490265216,0.006651538932528567,-0.00017815097347839703
6,1.0066515389325286,-0.9998218490265216,0.006651538932528567,-0.00017815097347839703
7,1.0066515389325286,-0.9998218490265216,0.006651538932528567,-0.00017815097347839703
8,1.0066515389325286,-0.9998218490265216,0.006651538932528567,-0.00017815097347839703
9,-0.9944669981050682,-0.9998782201746128,0.005533001894931777,-0.00012177982538719156
10,-0.9944669981050682,-0.9998782201746128,0.005533001894931777,-0.00012177982538719156
11,-0.9944669981050682,-0.9998782201746128,0.005533001894931777,-0.00012177982538719156
12,-0.9944669981050682,-0.9998782201746128,0.005533001894931777,-0.00012177982538719156
13,-1.0011249790238388,-0.9999949319921881,0.0011249790238387902,-5.068007811859232e-06
14,-1.0011249790238388,-0.9999949319921881,0.0011249790238387902,-5.068007811859232e-06
15,-1.0011249790238388,-0.9999949319921881,0.0011249790238387902,-5.068007811859232e-06
16,-1.0001371679152142,-0.9999999247295284,0.00013716791521423133,-7.527047163335965e-08
17,-1.0000854536679487,-0.9999999707881866,8.545366794865394e-05,-2.9211813412644005e-08
18,-1.000024264248049,-0.9999999976449279,2.426424804902183e-05,-2.3550721373055694e-09
19,-1.000024264248049,-0.9999999976449279,2.426424804902183e-05,-2.3550721373055694e-09
20,-1.0000157346073393,-0.9999999990096731,1.573460733927945e-05,-9.90326931571417e-10
21,-1.0000157346073393,-0.9999999990096731,1.573460733927945e-05,-9.90326931571417e-10
22,-1.0000045979916874,-0.9999999999154334,4.597991687393943e-06,-8.456657596411787e-11
23,-1.0000039956283557,-0.9999999999361395,3.995628355735192e-06,-6.386047246564885e-11
24,-1.0000039956283557,-0.9999999999361395,3.995628355735192e-06,-6.386047246564885e-11
25,-0.9999969204405084,-0.9999999999620652,3.0795594916366298e-06,-3.7934766439207124e-11
26,-1.0000016213671334,-0.9999999999894846,1.6213671334419644e-06,-1.0515366355434708e-11
27,-0.9999998233191039,-0.9999999999998751,1.766808961356503e-07,-1.249000902703301e-13
28,-0.9999998233191039,-0.9999999999998751,1.766808961356503e-07,-1.249000902703301e-13
29,-1.0000000481260807,-0.9999999999999905,4.8126080676169636e-08,-9.547918011776346e-15
30,-1.000000040704353,-0.9999999999999931,4.0704352999298976e-08,-6.8833827526759706e-15
31,-1.000000040704353,-0.9999999999999931,4.0704352999298976e-08,-6.8833827526759706e-15
32,-1.000000040704353,-0.9999999999999931,4.0704352999298976e-08,-6.8833827526759706e-15
33,-1.000000040704353,-0.9999999999999989,4.0704352999298976e-08,-1.1102230246251565e-15
34,-1.000000040704353,-0.9999999999999989,4.0704352999298976e-08,-1.1102230246251565e-15
35,-1.000000040704353,-0.9999999999999989,4.0704352999298976e-08,-1.1102230246251565e-15
36,-1.000000040704353,-0.9999999999999989,4.0704352999298976e-08,-1.1102230246251565e-15
37,-1.0000000044173771,-0.9999999999999998,4.4173771307498555e-09,-2.220446049250313e-16
38,-1.0000000044173771,-0.9999999999999998,4.4173771307498555e-09,-2.220446049250313e-16
