iteration,x,y,value,error,value_error,diversity
1,-1.3655703456774084,-2.0,-0.9431924189843475,0.8830171578208876,1.2987975810156525,1.2427745363511014
2,-0.8541891355817024,-1.568092492114728,-0.9443862984308393,0.5134038447583699,1.2976037015691606,1.0828082307172402
3,-0.8541891355817024,-1.568092492114728,-0.9443862984308393,0.5134038447583699,1.2976037015691606,1.0617203097340215
4,-1.0897289912542543,-1.2365054405704774,-2.180710944782417,0.10690921493979111,0.06127905521758281,1.0997198194677709
5,-1.0897289912542543,-1.2365054405704774,-2.180710944782417,0.10690921493979111,0.06127905521758281,1.0465757047481974
6,-1.0897289912542543,-1.2365054405704774,-2.180710944782417,0.10690921493979111,0.06127905521758281,0.9365880534001897
7,-1.0897289912542543,-1.2365054405704774,-2.180710944782417,0.10690921493979111,0.06127905521758281,0.9281464623654204
8,-1.0897289912542543,-1.2365054405704774,-2.180710944782417,0.10690921493979111,0.06127905521758281,0.8259126345978813
9,-1.0897289912542543,-1.2365054405704774,-2.180710944782417,0.10690921493979111,0.06127905521758281,0.8293309226472205
10,-1.0897289912542543,-1.2365054405704774,-2.180710944782417,0.10690921493979111,0.06127905521758281,0.8585618107938198
11,-1.0897289912542543,-1.2365054405704774,-2.180710944782417,0.10690921493979111,0.06127905521758281,0.8286539037800034
12,-1.0897289912542543,-1.2365054405704774,-2.180710944782417,0.10690921493979111,0.06127905521758281,0.8318643112658817
13,-1.0897289912542543,-1.2365054405704774,-2.180710944782417,0.10690921493979111,0.06127905521758281,0.830889337470821
14,-1.0897289912542543,-1.2365054405704774,-2.180710944782417,0.10690921493979111,0.06127905521758281,0.8328151141086135
15,-1.0897289912542543,-1.2365054405704774,-2.180710944782417,0.10690921493979111,0.06127905521758281,0.8183785738867504
16,-1.1864423172490621,-1.0788065752551157,-2.2050006783731195,0.0780899858760952,0.0369893216268804,0.7303588224543823
17,-1.1864423172490621,-1.0788065752551157,-2.2050006783731195,0.0780899858760952,0.0369893216268804,0.5771253844893405
18,-1.1422634887230538,-1.1735440191835782,-2.2409045367034492,0.028692902004460855,0.0010854632965506816,0.4649935068526769
19,-1.1422634887230538,-1.1735440191835782,-2.2409045367034492,0.028692902004460855,0.0010854632965506816,0.4636638677977906
20,-1.1422634887230538,-1.1735440191835782,-2.2409045367034492,0.028692902004460855,0.0010854632965506816,0.1916927024621883
21,-1.1422634887230538,-1.1735440191835782,-2.2409045367034492,0.028692902004460855,0.0010854632965506816,0.16924297265221366
22,-1.1422634887230538,-1.1735440191835782,-2.2409045367034492,0.028692902004460855,0.0010854632965506816,0.14258280363154918
23,-1.1422634887230538,-1.1735440191835782,-2.2409045367034492,0.028692902004460855,0.0010854632965506816,0.0761865134188506
24,-1.146405224240175,-1.1680067153930906,-2.2414905972795713,0.023070779915927736,0.0004994027204285878,0.07559598372242282
25,-1.146405224240175,-1.1680067153930906,-2.2414905972795713,0.023070779915927736,0.0004994027204285878,0.05075997529808618
26,-1.146405224240175,-1.1680067153930906,-2.2414905972795713,0.023070779915927736,0.0004994027204285878,0.044915478305773374
27,-1.1508812056469784,-1.1492207674218284,-2.2414912963094915,0.007266934457800531,0.0004987036905084175,0.03212806171639545
28,-1.1424483078224117,-1.131478538591777,-2.2417761733054036,0.013736772744709799,0.00021382669459635295,0.026471589254152873
29,-1.1424483078224117,-1.131478538591777,-2.2417761733054036,0.013736772744709799,0.00021382669459635295,0.022945392683570796
30,-1.1424483078224117,-1.131478538591777,-2.2417761733054036,0.013736772744709799,0.00021382669459635295,0.0211708973104405
31,-1.1415246060052513,-1.1389894537957348,-2.241813158129878,0.006915662765374242,0.0001768418701217911,0.01571421228359651
32,-1.1460122828087598,-1.14899932938841,-2.241961877832768,0.004149773069674539,2.8122167231803274e-05,0.012386578079231256
33,-1.1460122828087598,-1.14899932938841,-2.241961877832768,0.004149773069674539,2.8122167231803274e-05,0.00971326389151059
34,-1.1460122828087598,-1.14899932938841,-2.241961877832768,0.004149773069674539,2.8122167231803274e-05,0.009148058914272153
35,-1.1456731864061371,-1.1461756252028723,-2.241978775586823,0.0013820372713484782,1.1224413177135517e-05,0.008352573331377107
